Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,231,Ethiopia,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2020,2020,1000 An,84444,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2021,2021,g/An,800,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,"Meat of chickens, fresh or chilled",2021,2021,t,48808.79,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2021,2021,1000 An,61011,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2022,2022,g/An,800,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,"Meat of chickens, fresh or chilled",2022,2022,t,55603.14,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2022,2022,1000 An,69504,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2023,2023,g/An,800,E,Estimated value,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,"Meat of chickens, fresh or chilled",2023,2023,t,64342.25,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2023,2023,1000 An,80427,I,Imputed value,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2014,2014,kg/ha,2814.8,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2014,2014,t,131821,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2015,2015,kg/ha,3075.2,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2015,2015,t,139780.14,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2016,2016,kg/ha,2808.9,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2016,2016,t,136001,A,Official figure,
